Lake.Name,Lake.Short.Name,Lake.Name.Folder,Reservoir.or.lake.,Country,latitude.dec.deg,longitude.dec.deg,elevation.m,mean.depth.m,max.depth.m,lake.area.sqkm,Average.Secchi.disk.depth.m,Light.extinction.coefficient.m,osgood,kmcluster
Allequash Lake,Allequash,allequash,lake,USA,46.04,-89.62,494,2.9,8,1.64,3.2,NA,1.70293863659264,Small temperate lakes
Alqueva Reservoir,Alqueva,alqueva,reservoir,Portugal,38.2,-7.49,152,16.6,92,250,3.15,0.69,4.07430975749267,Warm lakes
Lake Annie,Annie,annie,lake,USA,27.21,-81.35,33.7,8.57,20.7,0.36,NA,NA,2.92745623366089,Warm lakes
Lake Arendsee,Arendsee,arendsee,lake,Germany,52.89,11.47,23,28.8,49,5.11,2.89,NA,5.3665631459995,Medium temperate lakes
Lake Argyle,Argyle,argyle,reservoir,Australia,-16.31,128.68,100,10.1,51,980,NA,0.89,3.17804971641414,Warm lakes
Lake Biel,Biel,biel,lake,Switzerland,47.08,7.16,429,30,74,39.3,NA,0.51,5.47722557505166,Medium temperate lakes
Big Muskellunge Lake,BigMuskellunge,big-muskellunge,lake,USA,46.02,-89.61,500,7.5,21.3,3.63,6.6,NA,2.73861278752583,Small temperate lakes
Black Oak Lake,BlackOak,black-oak,lake,USA,46.16,-89.32,521.51,10.36,25.91,2.28,3.2,NA,3.21869538788622,Small temperate lakes
Lake Bosumtwi,Bosumtwi,bosumtwi,lake,Ghana,6.3,1.25,210,34,78,52,1.2,NA,5.8309518948453,Warm lakes
Lake Bryrup,Bryrup,bryrup,lake,Denmark,56.02,9.52,66,4.6,9,0.37,2.1,NA,2.14476105895272,Small temperate lakes
Lake Burley Griffin,BurleyGriffin,burley-griffin,reservoir,Australia,-35.3,149.07,556,5,17,6.64,1.4,NA,2.23606797749979,Warm lakes
Lake Chao,Chao,chao,lake,China,31.53,117.53,4.5,3,7.98,780,0.38,NA,1.73205080756888,Large shallow lakes
