model,lake,cali,metric,value
FLake-LER,Allequash,calibrated,rmse,1.6927
FLake-LER,Allequash,calibrated,nse,0.94691
FLake-LER,Allequash,calibrated,r,0.9763
FLake-LER,Allequash,calibrated,bias,-0.19282
FLake-LER,Alqueva,calibrated,rmse,1.78999
FLake-LER,Alqueva,calibrated,nse,0.84061
FLake-LER,Alqueva,calibrated,r,0.94578
FLake-LER,Alqueva,calibrated,bias,-0.11302
FLake-LER,Annie,calibrated,rmse,3.05319
FLake-LER,Annie,calibrated,nse,0.50044
FLake-LER,Annie,calibrated,r,0.76655
FLake-LER,Annie,calibrated,bias,0.01167
FLake-LER,Arendsee,calibrated,rmse,2.24701
FLake-LER,Arendsee,calibrated,nse,0.74983
FLake-LER,Arendsee,calibrated,r,0.87477
FLake-LER,Arendsee,calibrated,bias,0.44272
FLake-LER,Argyle,calibrated,rmse,1.19921
FLake-LER,Argyle,calibrated,nse,0.82692
FLake-LER,Argyle,calibrated,r,0.9303
FLake-LER,Argyle,calibrated,bias,0.06534
FLake-LER,Biel,calibrated,rmse,1.47828
FLake-LER,Biel,calibrated,nse,0.91708
FLake-LER,Biel,calibrated,r,0.95881
FLake-LER,Biel,calibrated,bias,-0.01785
FLake-LER,BigMuskellunge,calibrated,rmse,1.31796
FLake-LER,BigMuskellunge,calibrated,nse,0.9674
FLake-LER,BigMuskellunge,calibrated,r,0.98388
FLake-LER,BigMuskellunge,calibrated,bias,-0.08225
FLake-LER,BlackOak,calibrated,rmse,1.72852
FLake-LER,BlackOak,calibrated,nse,0.91821
FLake-LER,BlackOak,calibrated,r,0.96724
FLake-LER,BlackOak,calibrated,bias,-0.70488
FLake-LER,Bosumtwi,calibrated,rmse,1.37661
FLake-LER,Bosumtwi,calibrated,nse,0.29973
FLake-LER,Bosumtwi,calibrated,r,0.55046
FLake-LER,Bosumtwi,calibrated,bias,-0.06737
FLake-LER,Bryrup,calibrated,rmse,1.20899
FLake-LER,Bryrup,calibrated,nse,0.95583
FLake-LER,Bryrup,calibrated,r,0.98174
FLake-LER,Bryrup,calibrated,bias,-0.21503
FLake-LER,BurleyGriffin,calibrated,rmse,1.33635
FLake-LER,BurleyGriffin,calibrated,nse,0.9323
FLake-LER,BurleyGriffin,calibrated,r,0.97344
FLake-LER,BurleyGriffin,calibrated,bias,-0.26184
FLake-LER,Chao,calibrated,rmse,1.25713
FLake-LER,Chao,calibrated,nse,0.97739
FLake-LER,Chao,calibrated,r,0.98972
FLake-LER,Chao,calibrated,bias,0.02442
FLake-LER,Crystal,calibrated,rmse,2.59712
FLake-LER,Crystal,calibrated,nse,0.84607
FLake-LER,Crystal,calibrated,r,0.94006
FLake-LER,Crystal,calibrated,bias,-0.39929
FLake-LER,CrystalBog,calibrated,rmse,1.94658
