model,lake,cali,metric,value
GLM-LER,Allequash,calibrated,rmse,1.80866
GLM-LER,Allequash,calibrated,nse,0.93139
GLM-LER,Allequash,calibrated,r,0.97136
GLM-LER,Allequash,calibrated,bias,0.51506
GLM-LER,Alqueva,calibrated,rmse,1.58064
GLM-LER,Alqueva,calibrated,nse,0.87429
GLM-LER,Alqueva,calibrated,r,0.96648
GLM-LER,Alqueva,calibrated,bias,-0.06442
GLM-LER,Annie,calibrated,rmse,1.62015
GLM-LER,Annie,calibrated,nse,0.85259
GLM-LER,Annie,calibrated,r,0.94776
GLM-LER,Annie,calibrated,bias,-0.33937
GLM-LER,Arendsee,calibrated,rmse,1.21121
GLM-LER,Arendsee,calibrated,nse,0.90648
GLM-LER,Arendsee,calibrated,r,0.95881
GLM-LER,Arendsee,calibrated,bias,0.36293
GLM-LER,Argyle,calibrated,rmse,1.09723
GLM-LER,Argyle,calibrated,nse,0.80685
GLM-LER,Argyle,calibrated,r,0.94662
GLM-LER,Argyle,calibrated,bias,-0.04452
GLM-LER,Biel,calibrated,rmse,2.26229
GLM-LER,Biel,calibrated,nse,0.75958
GLM-LER,Biel,calibrated,r,0.91073
GLM-LER,Biel,calibrated,bias,-1.08352
GLM-LER,BigMuskellunge,calibrated,rmse,1.49551
GLM-LER,BigMuskellunge,calibrated,nse,0.94112
GLM-LER,BigMuskellunge,calibrated,r,0.97716
GLM-LER,BigMuskellunge,calibrated,bias,0.47187
GLM-LER,BlackOak,calibrated,rmse,1.86692
GLM-LER,BlackOak,calibrated,nse,0.90721
GLM-LER,BlackOak,calibrated,r,0.96568
GLM-LER,BlackOak,calibrated,bias,0.77847
GLM-LER,Bosumtwi,calibrated,rmse,1.02066
GLM-LER,Bosumtwi,calibrated,nse,0.40031
GLM-LER,Bosumtwi,calibrated,r,0.6332
GLM-LER,Bosumtwi,calibrated,bias,-0.03298
GLM-LER,Bryrup,calibrated,rmse,1.39496
GLM-LER,Bryrup,calibrated,nse,0.93278
GLM-LER,Bryrup,calibrated,r,0.98171
GLM-LER,Bryrup,calibrated,bias,-0.34012
GLM-LER,BurleyGriffin,calibrated,rmse,1.38773
GLM-LER,BurleyGriffin,calibrated,nse,0.91545
GLM-LER,BurleyGriffin,calibrated,r,0.96893
GLM-LER,BurleyGriffin,calibrated,bias,0.17252
GLM-LER,Chao,calibrated,rmse,1.57184
GLM-LER,Chao,calibrated,nse,0.96466
GLM-LER,Chao,calibrated,r,0.98434
GLM-LER,Chao,calibrated,bias,0.1725
GLM-LER,Crystal,calibrated,rmse,1.22161
GLM-LER,Crystal,calibrated,nse,0.95839
GLM-LER,Crystal,calibrated,r,0.98007
GLM-LER,Crystal,calibrated,bias,0.03647
GLM-LER,CrystalBog,calibrated,rmse,3.27332
GLM-LER,CrystalBog,calibrated,nse,0.79927
GLM-LER,CrystalBog,calibrated,r,0.908
GLM-LER,CrystalBog,calibrated,bias,0.12649
GLM-LER,Delavan,calibrated,rmse,1.74454
GLM-LER,Delavan,calibrated,nse,0.93615
GLM-LER,Delavan,calibrated,r,0.97436
GLM-LER,Delavan,calibrated,bias,0.66872
GLM-LER,Dickie,calibrated,rmse,1.57006
GLM-LER,Dickie,calibrated,nse,0.92006
GLM-LER,Dickie,calibrated,r,0.97645
GLM-LER,Dickie,calibrated,bias,0.23275
GLM-LER,Eagle,calibrated,rmse,2.03646
GLM-LER,Eagle,calibrated,nse,0.89288
GLM-LER,Eagle,calibrated,r,0.94546
GLM-LER,Eagle,calibrated,bias,-0.03468
GLM-LER,Ekoln,calibrated,rmse,1.76456
GLM-LER,Ekoln,calibrated,nse,0.88904
GLM-LER,Ekoln,calibrated,r,0.95198
GLM-LER,Ekoln,calibrated,bias,-0.69178
GLM-LER,Erken,calibrated,rmse,1.34178
GLM-LER,Erken,calibrated,nse,0.94134
GLM-LER,Erken,calibrated,r,0.97496
GLM-LER,Erken,calibrated,bias,0.16216
GLM-LER,EsthwaiteWater,calibrated,rmse,1.0462
GLM-LER,EsthwaiteWater,calibrated,nse,0.94355
GLM-LER,EsthwaiteWater,calibrated,r,0.98994
GLM-LER,EsthwaiteWater,calibrated,bias,-0.34459
GLM-LER,FallingCreek,calibrated,rmse,2.19764
GLM-LER,FallingCreek,calibrated,nse,0.86423
GLM-LER,FallingCreek,calibrated,r,0.9526
GLM-LER,FallingCreek,calibrated,bias,0.76187
GLM-LER,Feeagh,calibrated,rmse,1.52019
GLM-LER,Feeagh,calibrated,nse,0.81045
GLM-LER,Feeagh,calibrated,r,0.95147
GLM-LER,Feeagh,calibrated,bias,-0.93221
GLM-LER,Fish,calibrated,rmse,1.78332
GLM-LER,Fish,calibrated,nse,0.92201
GLM-LER,Fish,calibrated,r,0.96428
GLM-LER,Fish,calibrated,bias,0.22302
GLM-LER,GreatPond,calibrated,rmse,1.19651
GLM-LER,GreatPond,calibrated,nse,0.95032
GLM-LER,GreatPond,calibrated,r,0.97498
GLM-LER,GreatPond,calibrated,bias,-0.08757
GLM-LER,Green,calibrated,rmse,1.5066
GLM-LER,Green,calibrated,nse,0.92971
GLM-LER,Green,calibrated,r,0.96779
GLM-LER,Green,calibrated,bias,0.33808
GLM-LER,Harp,calibrated,rmse,0.87336
GLM-LER,Harp,calibrated,nse,0.9662
GLM-LER,Harp,calibrated,r,0.9873
GLM-LER,Harp,calibrated,bias,0.00762
GLM-LER,Hassel,calibrated,rmse,0.95849
GLM-LER,Hassel,calibrated,nse,0.95552
GLM-LER,Hassel,calibrated,r,0.98017
GLM-LER,Hassel,calibrated,bias,-0.15821
GLM-LER,Hulun,calibrated,rmse,2.78833
GLM-LER,Hulun,calibrated,nse,0.9118
GLM-LER,Hulun,calibrated,r,0.96079
GLM-LER,Hulun,calibrated,bias,0.9612
GLM-LER,Kilpisjarvi,calibrated,rmse,2.1462
GLM-LER,Kilpisjarvi,calibrated,nse,0.3627
GLM-LER,Kilpisjarvi,calibrated,r,0.68053
GLM-LER,Kilpisjarvi,calibrated,bias,0.32413
GLM-LER,Kinneret,calibrated,rmse,3.4183
GLM-LER,Kinneret,calibrated,nse,0.43862
GLM-LER,Kinneret,calibrated,r,0.82938
GLM-LER,Kinneret,calibrated,bias,-1.99864
GLM-LER,Kivu,calibrated,rmse,0.27588
GLM-LER,Kivu,calibrated,nse,0.66039
GLM-LER,Kivu,calibrated,r,0.82354
GLM-LER,Kivu,calibrated,bias,0.01145
GLM-LER,Klicava,calibrated,rmse,1.40303
GLM-LER,Klicava,calibrated,nse,0.96246
GLM-LER,Klicava,calibrated,r,0.98405
GLM-LER,Klicava,calibrated,bias,0.03565
GLM-LER,Kuivajarvi,calibrated,rmse,1.3319
GLM-LER,Kuivajarvi,calibrated,nse,0.95068
GLM-LER,Kuivajarvi,calibrated,r,0.98186
GLM-LER,Kuivajarvi,calibrated,bias,-0.00844
GLM-LER,Langtjern,calibrated,rmse,1.35198
GLM-LER,Langtjern,calibrated,nse,0.86718
GLM-LER,Langtjern,calibrated,r,0.96497
GLM-LER,Langtjern,calibrated,bias,-0.2239
GLM-LER,Laramie,calibrated,rmse,0.84279
GLM-LER,Laramie,calibrated,nse,0.94549
GLM-LER,Laramie,calibrated,r,0.97629
GLM-LER,Laramie,calibrated,bias,0.31541
GLM-LER,LowerLakeZurich,calibrated,rmse,1.05183
GLM-LER,LowerLakeZurich,calibrated,nse,0.95315
GLM-LER,LowerLakeZurich,calibrated,r,0.97893
GLM-LER,LowerLakeZurich,calibrated,bias,-0.17469
GLM-LER,Mendota,calibrated,rmse,1.97979
GLM-LER,Mendota,calibrated,nse,0.90293
GLM-LER,Mendota,calibrated,r,0.95349
GLM-LER,Mendota,calibrated,bias,0.35793
GLM-LER,Monona,calibrated,rmse,1.90995
GLM-LER,Monona,calibrated,nse,0.90355
GLM-LER,Monona,calibrated,r,0.95256
GLM-LER,Monona,calibrated,bias,-0.10739
GLM-LER,Mozhaysk,calibrated,rmse,1.28597
GLM-LER,Mozhaysk,calibrated,nse,0.97615
GLM-LER,Mozhaysk,calibrated,r,0.98821
GLM-LER,Mozhaysk,calibrated,bias,0.15133
GLM-LER,MtBold,calibrated,rmse,2.02652
GLM-LER,MtBold,calibrated,nse,0.72873
GLM-LER,MtBold,calibrated,r,0.86263
GLM-LER,MtBold,calibrated,bias,-0.45357
GLM-LER,Muggelsee,calibrated,rmse,0.76803
GLM-LER,Muggelsee,calibrated,nse,0.98658
GLM-LER,Muggelsee,calibrated,r,0.99556
GLM-LER,Muggelsee,calibrated,bias,-0.14616
GLM-LER,Murten,calibrated,rmse,1.83339
GLM-LER,Murten,calibrated,nse,0.87267
GLM-LER,Murten,calibrated,r,0.95338
GLM-LER,Murten,calibrated,bias,-0.47305
GLM-LER,Neuchatel,calibrated,rmse,1.57947
GLM-LER,Neuchatel,calibrated,nse,0.88359
GLM-LER,Neuchatel,calibrated,r,0.95886
GLM-LER,Neuchatel,calibrated,bias,-0.77129
GLM-LER,Ngoring,calibrated,rmse,1.0974
GLM-LER,Ngoring,calibrated,nse,0.9194
GLM-LER,Ngoring,calibrated,r,0.96082
GLM-LER,Ngoring,calibrated,bias,0.23073
GLM-LER,NohipaloMustjarv,calibrated,rmse,1.42427
GLM-LER,NohipaloMustjarv,calibrated,nse,0.93481
GLM-LER,NohipaloMustjarv,calibrated,r,0.98345
GLM-LER,NohipaloMustjarv,calibrated,bias,-0.56366
GLM-LER,NohipaloValgejarv,calibrated,rmse,1.1558
GLM-LER,NohipaloValgejarv,calibrated,nse,0.96189
GLM-LER,NohipaloValgejarv,calibrated,r,0.98517
GLM-LER,NohipaloValgejarv,calibrated,bias,-0.47231
GLM-LER,Okauchee,calibrated,rmse,1.56434
GLM-LER,Okauchee,calibrated,nse,0.95003
GLM-LER,Okauchee,calibrated,r,0.97722
GLM-LER,Okauchee,calibrated,bias,-0.03614
GLM-LER,Paajarvi,calibrated,rmse,1.45594
GLM-LER,Paajarvi,calibrated,nse,0.88145
GLM-LER,Paajarvi,calibrated,r,0.94508
GLM-LER,Paajarvi,calibrated,bias,-0.31595
GLM-LER,Rappbode,calibrated,rmse,1.01829
GLM-LER,Rappbode,calibrated,nse,0.94134
GLM-LER,Rappbode,calibrated,r,0.97033
GLM-LER,Rappbode,calibrated,bias,0.05912
GLM-LER,Rappbodep,calibrated,rmse,1.06216
GLM-LER,Rappbodep,calibrated,nse,0.93613
GLM-LER,Rappbodep,calibrated,r,0.97237
GLM-LER,Rappbodep,calibrated,bias,0.05695
GLM-LER,Rimov,calibrated,rmse,1.83456
GLM-LER,Rimov,calibrated,nse,0.86349
GLM-LER,Rimov,calibrated,r,0.93089
