model,lake,cali,metric,value
GLM,Allequash,calibrated,rmse,1.51060589005851
GLM,Allequash,calibrated,nse,0.950221226985743
GLM,Allequash,calibrated,r,0.976462580151495
GLM,Allequash,calibrated,bias,0.460218838839841
GLM,Alqueva,calibrated,rmse,1.67159455123532
GLM,Alqueva,calibrated,nse,0.905231106486966
GLM,Alqueva,calibrated,r,0.964900481969834
GLM,Alqueva,calibrated,bias,-0.297174328444491
GLM,Annie,calibrated,rmse,1.55624148295727
GLM,Annie,calibrated,nse,0.906359806422123
GLM,Annie,calibrated,r,0.961600477599853
GLM,Annie,calibrated,bias,-0.157154749536669
GLM,Arendsee,calibrated,rmse,0.764829311891691
GLM,Arendsee,calibrated,nse,0.96431027921036
GLM,Arendsee,calibrated,r,0.983493689318389
GLM,Arendsee,calibrated,bias,0.193030699311803
GLM,Argyle,calibrated,rmse,1.16068926182134
GLM,Argyle,calibrated,nse,0.840659159699696
GLM,Argyle,calibrated,r,0.919107478974376
GLM,Argyle,calibrated,bias,0.0344295511235799
GLM,Biel,calibrated,rmse,1.24391926732281
GLM,Biel,calibrated,nse,0.934766024303779
GLM,Biel,calibrated,r,0.967476180698856
GLM,Biel,calibrated,bias,-0.128309479685045
GLM,BigMuskellunge,calibrated,rmse,1.29271419523004
GLM,BigMuskellunge,calibrated,nse,0.955788003385194
GLM,BigMuskellunge,calibrated,r,0.977970390404377
GLM,BigMuskellunge,calibrated,bias,0.000212557370149469
GLM,BlackOak,calibrated,rmse,0.985378915968022
GLM,BlackOak,calibrated,nse,0.973733522322153
GLM,BlackOak,calibrated,r,0.987154804001145
GLM,BlackOak,calibrated,bias,-0.119582205393259
GLM,Bosumtwi,calibrated,rmse,1.030823391314
GLM,Bosumtwi,calibrated,nse,-0.564365572697898
GLM,Bosumtwi,calibrated,r,0.62679946616697
GLM,Bosumtwi,calibrated,bias,0.00961862639241673
GLM,Bryrup,calibrated,rmse,1.31233644222375
GLM,Bryrup,calibrated,nse,0.954175428173172
GLM,Bryrup,calibrated,r,0.983309995294972
GLM,Bryrup,calibrated,bias,-0.201895341540308
GLM,BurleyGriffin,calibrated,rmse,1.49036456603045
GLM,BurleyGriffin,calibrated,nse,0.928400537627765
GLM,BurleyGriffin,calibrated,r,0.970808750563072
GLM,BurleyGriffin,calibrated,bias,-0.226090692238493
GLM,Chao,calibrated,rmse,1.69951397304105
GLM,Chao,calibrated,nse,0.962372643753925
GLM,Chao,calibrated,r,0.981885317084374
GLM,Chao,calibrated,bias,0.198060307705454
GLM,Crystal,calibrated,rmse,1.15586768583652
GLM,Crystal,calibrated,nse,0.962615920291202
GLM,Crystal,calibrated,r,0.981481923391384
GLM,Crystal,calibrated,bias,0.103508919178838
GLM,CrystalBog,calibrated,rmse,1.97704729419425
GLM,CrystalBog,calibrated,nse,0.933130475062282
GLM,CrystalBog,calibrated,r,0.966077492729874
GLM,CrystalBog,calibrated,bias,0.558632824372847
GLM,Delavan,calibrated,rmse,1.39596021705314
GLM,Delavan,calibrated,nse,0.961969187474929
GLM,Delavan,calibrated,r,0.981335527307319
GLM,Delavan,calibrated,bias,0.267192089454033
GLM,Dickie,calibrated,rmse,1.00894498669164
GLM,Dickie,calibrated,nse,0.969262701840994
GLM,Dickie,calibrated,r,0.984826935136833
GLM,Dickie,calibrated,bias,-0.048281690750283
GLM,Eagle,calibrated,rmse,3.94964545122519
GLM,Eagle,calibrated,nse,0.718693458902301
GLM,Eagle,calibrated,r,0.88115264365734
GLM,Eagle,calibrated,bias,5.87635503098751
GLM,Ekoln,calibrated,rmse,1.41834586360477
GLM,Ekoln,calibrated,nse,0.934945907240622
GLM,Ekoln,calibrated,r,0.967297704124044
GLM,Ekoln,calibrated,bias,-0.119680556611511
GLM,Erken,calibrated,rmse,1.28368873049112
GLM,Erken,calibrated,nse,0.94994210314124
GLM,Erken,calibrated,r,0.975426591386355
GLM,Erken,calibrated,bias,-0.215451768044788
GLM,EsthwaiteWater,calibrated,rmse,1.02542037816409
GLM,EsthwaiteWater,calibrated,nse,0.95946868050533
GLM,EsthwaiteWater,calibrated,r,0.991886984426082
GLM,EsthwaiteWater,calibrated,bias,-0.45334444388352
GLM,FallingCreek,calibrated,rmse,2.51329709795914
GLM,FallingCreek,calibrated,nse,0.795147419834539
GLM,FallingCreek,calibrated,r,0.906303899985837
GLM,FallingCreek,calibrated,bias,0.38120025907042
GLM,Feeagh,calibrated,rmse,2.26394760703814
GLM,Feeagh,calibrated,nse,0.628246492962202
GLM,Feeagh,calibrated,r,0.877038382863093
GLM,Feeagh,calibrated,bias,-1.37326556921413
GLM,Fish,calibrated,rmse,1.52725066750165
GLM,Fish,calibrated,nse,0.947649427140124
GLM,Fish,calibrated,r,0.973639169397484
GLM,Fish,calibrated,bias,0.0983007163771923
GLM,GreatPond,calibrated,rmse,1.59735880611268
GLM,GreatPond,calibrated,nse,0.91301888525901
GLM,GreatPond,calibrated,r,0.956180700665032
GLM,GreatPond,calibrated,bias,-0.0200042637333073
GLM,Green,calibrated,rmse,1.20964907743928
GLM,Green,calibrated,nse,0.94868525545923
GLM,Green,calibrated,r,0.978503220740865
GLM,Green,calibrated,bias,0.117685565693685
GLM,Harp,calibrated,rmse,0.678422908674932
GLM,Harp,calibrated,nse,0.980003737342537
GLM,Harp,calibrated,r,0.990135999561816
GLM,Harp,calibrated,bias,-0.0766891104651286
GLM,Hassel,calibrated,rmse,0.820581871200659
GLM,Hassel,calibrated,nse,0.971028307084013
GLM,Hassel,calibrated,r,0.98673166858845
GLM,Hassel,calibrated,bias,-0.00608502780004994
GLM,Hulun,calibrated,rmse,2.35303995921821
GLM,Hulun,calibrated,nse,0.93731855119086
GLM,Hulun,calibrated,r,0.968729873027499
GLM,Hulun,calibrated,bias,0.0433123331775604
GLM,Kilpisjarvi,calibrated,rmse,2.21239797990491
GLM,Kilpisjarvi,calibrated,nse,-2.58080645748827
GLM,Kilpisjarvi,calibrated,r,0.696414947469726
GLM,Kilpisjarvi,calibrated,bias,-0.365078181813554
GLM,Kinneret,calibrated,rmse,0.859764533030057
GLM,Kinneret,calibrated,nse,0.967711228605777
GLM,Kinneret,calibrated,r,0.984016057562356
GLM,Kinneret,calibrated,bias,0.104627928670258
GLM,Kivu,calibrated,rmse,0.47995874793494
GLM,Kivu,calibrated,nse,0.513069471927723
GLM,Kivu,calibrated,r,0.718640240069119
GLM,Kivu,calibrated,bias,-0.034449846777445
GLM,Klicava,calibrated,rmse,1.32214483071422
GLM,Klicava,calibrated,nse,0.969584384094635
GLM,Klicava,calibrated,r,0.985252984013926
GLM,Klicava,calibrated,bias,0.0965394923301801
GLM,Kuivajarvi,calibrated,rmse,1.23493508807273
GLM,Kuivajarvi,calibrated,nse,0.961037447348601
