model,lake,cali,metric,value
GOTM-LER,Allequash,calibrated,rmse,1.72006
GOTM-LER,Allequash,calibrated,nse,0.94148
GOTM-LER,Allequash,calibrated,r,0.97104
GOTM-LER,Allequash,calibrated,bias,-0.17283
GOTM-LER,Alqueva,calibrated,rmse,1.02312
GOTM-LER,Alqueva,calibrated,nse,0.94733
GOTM-LER,Alqueva,calibrated,r,0.98242
GOTM-LER,Alqueva,calibrated,bias,-0.14254
GOTM-LER,Annie,calibrated,rmse,1.47885
GOTM-LER,Annie,calibrated,nse,0.87718
GOTM-LER,Annie,calibrated,r,0.9566
GOTM-LER,Annie,calibrated,bias,0.01024
GOTM-LER,Arendsee,calibrated,rmse,1.28644
GOTM-LER,Arendsee,calibrated,nse,0.8945
GOTM-LER,Arendsee,calibrated,r,0.96543
GOTM-LER,Arendsee,calibrated,bias,-0.58821
GOTM-LER,Argyle,calibrated,rmse,0.90242
GOTM-LER,Argyle,calibrated,nse,0.86935
GOTM-LER,Argyle,calibrated,r,0.9365
GOTM-LER,Argyle,calibrated,bias,-0.11737
GOTM-LER,Biel,calibrated,rmse,1.85362
GOTM-LER,Biel,calibrated,nse,0.83859
GOTM-LER,Biel,calibrated,r,0.91721
GOTM-LER,Biel,calibrated,bias,-0.03507
GOTM-LER,BigMuskellunge,calibrated,rmse,2.2469
GOTM-LER,BigMuskellunge,calibrated,nse,0.8671
GOTM-LER,BigMuskellunge,calibrated,r,0.94139
GOTM-LER,BigMuskellunge,calibrated,bias,-0.80828
GOTM-LER,BlackOak,calibrated,rmse,2.4663
GOTM-LER,BlackOak,calibrated,nse,0.83926
GOTM-LER,BlackOak,calibrated,r,0.96685
GOTM-LER,BlackOak,calibrated,bias,-1.73121
GOTM-LER,Bosumtwi,calibrated,rmse,1.02653
GOTM-LER,Bosumtwi,calibrated,nse,0.39339
GOTM-LER,Bosumtwi,calibrated,r,0.62994000000000006
GOTM-LER,Bosumtwi,calibrated,bias,0.05523
GOTM-LER,Bryrup,calibrated,rmse,1.50143
GOTM-LER,Bryrup,calibrated,nse,0.92213
GOTM-LER,Bryrup,calibrated,r,0.98211
GOTM-LER,Bryrup,calibrated,bias,-0.72695
GOTM-LER,BurleyGriffin,calibrated,rmse,1.80141
GOTM-LER,BurleyGriffin,calibrated,nse,0.85747
GOTM-LER,BurleyGriffin,calibrated,r,0.97684
GOTM-LER,BurleyGriffin,calibrated,bias,-0.06506
GOTM-LER,Chao,calibrated,rmse,1.33485
GOTM-LER,Chao,calibrated,nse,0.97451
GOTM-LER,Chao,calibrated,r,0.98935
GOTM-LER,Chao,calibrated,bias,0.08387
GOTM-LER,Crystal,calibrated,rmse,1.73182
GOTM-LER,Crystal,calibrated,nse,0.91637
GOTM-LER,Crystal,calibrated,r,0.9615
GOTM-LER,Crystal,calibrated,bias,-0.16088
GOTM-LER,CrystalBog,calibrated,rmse,2.20128
GOTM-LER,CrystalBog,calibrated,nse,0.92484
GOTM-LER,CrystalBog,calibrated,r,0.96775
GOTM-LER,CrystalBog,calibrated,bias,-0.36974
GOTM-LER,Delavan,calibrated,rmse,2.54035
GOTM-LER,Delavan,calibrated,nse,0.86819
GOTM-LER,Delavan,calibrated,r,0.94175
GOTM-LER,Delavan,calibrated,bias,-0.53383
GOTM-LER,Dickie,calibrated,rmse,1.76072
GOTM-LER,Dickie,calibrated,nse,0.89947
GOTM-LER,Dickie,calibrated,r,0.95467
GOTM-LER,Dickie,calibrated,bias,-0.1898
GOTM-LER,Eagle,calibrated,rmse,2.92003
GOTM-LER,Eagle,calibrated,nse,0.77977
GOTM-LER,Eagle,calibrated,r,0.89745
GOTM-LER,Eagle,calibrated,bias,-0.57452
GOTM-LER,Ekoln,calibrated,rmse,1.9056
GOTM-LER,Ekoln,calibrated,nse,0.87059
GOTM-LER,Ekoln,calibrated,r,0.9363
GOTM-LER,Ekoln,calibrated,bias,-0.19074
GOTM-LER,Erken,calibrated,rmse,1.51861
GOTM-LER,Erken,calibrated,nse,0.92485
GOTM-LER,Erken,calibrated,r,0.97239
GOTM-LER,Erken,calibrated,bias,-0.63332
GOTM-LER,EsthwaiteWater,calibrated,rmse,1.41063
GOTM-LER,EsthwaiteWater,calibrated,nse,0.89737
GOTM-LER,EsthwaiteWater,calibrated,r,0.98246
GOTM-LER,EsthwaiteWater,calibrated,bias,-0.85305
GOTM-LER,FallingCreek,calibrated,rmse,2.11101
GOTM-LER,FallingCreek,calibrated,nse,0.87607
GOTM-LER,FallingCreek,calibrated,r,0.94952
GOTM-LER,FallingCreek,calibrated,bias,-1.6e-4
GOTM-LER,Feeagh,calibrated,rmse,1.36531
GOTM-LER,Feeagh,calibrated,nse,0.8471
GOTM-LER,Feeagh,calibrated,r,0.94694
GOTM-LER,Feeagh,calibrated,bias,-0.14772
GOTM-LER,Fish,calibrated,rmse,2.80031
GOTM-LER,Fish,calibrated,nse,0.80936
GOTM-LER,Fish,calibrated,r,0.93328
GOTM-LER,Fish,calibrated,bias,-1.53742
GOTM-LER,GreatPond,calibrated,rmse,2.66393
GOTM-LER,GreatPond,calibrated,nse,0.75376
GOTM-LER,GreatPond,calibrated,r,0.88207
GOTM-LER,GreatPond,calibrated,bias,-0.66954
GOTM-LER,Green,calibrated,rmse,2.00747
GOTM-LER,Green,calibrated,nse,0.87521
GOTM-LER,Green,calibrated,r,0.94694
GOTM-LER,Green,calibrated,bias,-0.13138
GOTM-LER,Harp,calibrated,rmse,0.84345
GOTM-LER,Harp,calibrated,nse,0.96849
GOTM-LER,Harp,calibrated,r,0.98586
GOTM-LER,Harp,calibrated,bias,0.13254
GOTM-LER,Hassel,calibrated,rmse,1.27798
GOTM-LER,Hassel,calibrated,nse,0.92156
GOTM-LER,Hassel,calibrated,r,0.9613
GOTM-LER,Hassel,calibrated,bias,-0.22411
GOTM-LER,Hulun,calibrated,rmse,2.28741
GOTM-LER,Hulun,calibrated,nse,0.94064
GOTM-LER,Hulun,calibrated,r,0.97055
GOTM-LER,Hulun,calibrated,bias,-0.09787
GOTM-LER,Kilpisjarvi,calibrated,rmse,1.22854
GOTM-LER,Kilpisjarvi,calibrated,nse,0.79118
GOTM-LER,Kilpisjarvi,calibrated,r,0.89255
GOTM-LER,Kilpisjarvi,calibrated,bias,-0.19826
GOTM-LER,Kinneret,calibrated,rmse,2.41581
GOTM-LER,Kinneret,calibrated,nse,0.71961
GOTM-LER,Kinneret,calibrated,r,0.86071
GOTM-LER,Kinneret,calibrated,bias,-0.58577
GOTM-LER,Kivu,calibrated,rmse,0.35633
GOTM-LER,Kivu,calibrated,nse,0.43346
GOTM-LER,Kivu,calibrated,r,0.80187
GOTM-LER,Kivu,calibrated,bias,-0.17624
GOTM-LER,Klicava,calibrated,rmse,1.22319
GOTM-LER,Klicava,calibrated,nse,0.97147
GOTM-LER,Klicava,calibrated,r,0.98619
GOTM-LER,Klicava,calibrated,bias,0.09189
GOTM-LER,Kuivajarvi,calibrated,rmse,1.23703
GOTM-LER,Kuivajarvi,calibrated,nse,0.95877
GOTM-LER,Kuivajarvi,calibrated,r,0.97975
GOTM-LER,Kuivajarvi,calibrated,bias,-0.14391
GOTM-LER,Langtjern,calibrated,rmse,1.68391
GOTM-LER,Langtjern,calibrated,nse,0.79396
GOTM-LER,Langtjern,calibrated,r,0.92315
GOTM-LER,Langtjern,calibrated,bias,-0.53905
GOTM-LER,Laramie,calibrated,rmse,0.7738
GOTM-LER,Laramie,calibrated,nse,0.95344
GOTM-LER,Laramie,calibrated,r,0.97651
GOTM-LER,Laramie,calibrated,bias,0.03705
GOTM-LER,LowerLakeZurich,calibrated,rmse,1.55108
GOTM-LER,LowerLakeZurich,calibrated,nse,0.90142
GOTM-LER,LowerLakeZurich,calibrated,r,0.96133
GOTM-LER,LowerLakeZurich,calibrated,bias,0.01623
GOTM-LER,Mendota,calibrated,rmse,2.80306
GOTM-LER,Mendota,calibrated,nse,0.80803
