model,lake,cali,metric,value
Simstrat-LER,Allequash,calibrated,rmse,2.87494
Simstrat-LER,Allequash,calibrated,nse,0.82591
Simstrat-LER,Allequash,calibrated,r,0.94139
Simstrat-LER,Allequash,calibrated,bias,-0.42767
Simstrat-LER,Alqueva,calibrated,rmse,1.17958
Simstrat-LER,Alqueva,calibrated,nse,0.92999
Simstrat-LER,Alqueva,calibrated,r,0.97848
Simstrat-LER,Alqueva,calibrated,bias,-0.51556
Simstrat-LER,Annie,calibrated,rmse,2.67393
Simstrat-LER,Annie,calibrated,nse,0.59848
Simstrat-LER,Annie,calibrated,r,0.91056
Simstrat-LER,Annie,calibrated,bias,1.77908
Simstrat-LER,Arendsee,calibrated,rmse,0.61181
Simstrat-LER,Arendsee,calibrated,nse,0.97614
Simstrat-LER,Arendsee,calibrated,r,0.98894
Simstrat-LER,Arendsee,calibrated,bias,0.16878
Simstrat-LER,Argyle,calibrated,rmse,1.0036
Simstrat-LER,Argyle,calibrated,nse,0.83841
Simstrat-LER,Argyle,calibrated,r,0.94753
Simstrat-LER,Argyle,calibrated,bias,-0.0929
Simstrat-LER,Biel,calibrated,rmse,2.18036
Simstrat-LER,Biel,calibrated,nse,0.77668
Simstrat-LER,Biel,calibrated,r,0.91582
Simstrat-LER,Biel,calibrated,bias,-0.80087
Simstrat-LER,BigMuskellunge,calibrated,rmse,1.75494
Simstrat-LER,BigMuskellunge,calibrated,nse,0.91892
Simstrat-LER,BigMuskellunge,calibrated,r,0.97401
Simstrat-LER,BigMuskellunge,calibrated,bias,-0.4086
Simstrat-LER,BlackOak,calibrated,rmse,1.13918
Simstrat-LER,BlackOak,calibrated,nse,0.96545
Simstrat-LER,BlackOak,calibrated,r,0.98592
Simstrat-LER,BlackOak,calibrated,bias,0.197
Simstrat-LER,Bosumtwi,calibrated,rmse,1.21693
Simstrat-LER,Bosumtwi,calibrated,nse,0.14751
Simstrat-LER,Bosumtwi,calibrated,r,0.56901
Simstrat-LER,Bosumtwi,calibrated,bias,0.46983
Simstrat-LER,Bryrup,calibrated,rmse,1.56452
Simstrat-LER,Bryrup,calibrated,nse,0.91542
Simstrat-LER,Bryrup,calibrated,r,0.98132
Simstrat-LER,Bryrup,calibrated,bias,-0.1451
Simstrat-LER,BurleyGriffin,calibrated,rmse,1.39572
Simstrat-LER,BurleyGriffin,calibrated,nse,0.91447
Simstrat-LER,BurleyGriffin,calibrated,r,0.97137
Simstrat-LER,BurleyGriffin,calibrated,bias,0.01105
Simstrat-LER,Chao,calibrated,rmse,1.43327
Simstrat-LER,Chao,calibrated,nse,0.97062
Simstrat-LER,Chao,calibrated,r,0.98656
Simstrat-LER,Chao,calibrated,bias,0.21226
Simstrat-LER,Crystal,calibrated,rmse,1.59759
Simstrat-LER,Crystal,calibrated,nse,0.92883
Simstrat-LER,Crystal,calibrated,r,0.97452
Simstrat-LER,Crystal,calibrated,bias,-0.04052
Simstrat-LER,CrystalBog,calibrated,rmse,3.31688
Simstrat-LER,CrystalBog,calibrated,nse,0.80154
Simstrat-LER,CrystalBog,calibrated,r,0.9199
Simstrat-LER,CrystalBog,calibrated,bias,-0.28324
Simstrat-LER,Delavan,calibrated,rmse,1.7347
Simstrat-LER,Delavan,calibrated,nse,0.93678
Simstrat-LER,Delavan,calibrated,r,0.97833
Simstrat-LER,Delavan,calibrated,bias,-0.28662
Simstrat-LER,Dickie,calibrated,rmse,2.06523
Simstrat-LER,Dickie,calibrated,nse,0.86169
Simstrat-LER,Dickie,calibrated,r,0.94585
Simstrat-LER,Dickie,calibrated,bias,-0.2715
Simstrat-LER,Eagle,calibrated,rmse,1.90733
Simstrat-LER,Eagle,calibrated,nse,0.90604
Simstrat-LER,Eagle,calibrated,r,0.95352
Simstrat-LER,Eagle,calibrated,bias,-0.07016
Simstrat-LER,Ekoln,calibrated,rmse,1.35837
Simstrat-LER,Ekoln,calibrated,nse,0.93425
Simstrat-LER,Ekoln,calibrated,r,0.97467
Simstrat-LER,Ekoln,calibrated,bias,-0.66424
Simstrat-LER,Erken,calibrated,rmse,1.06926
Simstrat-LER,Erken,calibrated,nse,0.96275
Simstrat-LER,Erken,calibrated,r,0.98431
Simstrat-LER,Erken,calibrated,bias,-0.21966
Simstrat-LER,EsthwaiteWater,calibrated,rmse,0.94531
Simstrat-LER,EsthwaiteWater,calibrated,nse,0.95391
Simstrat-LER,EsthwaiteWater,calibrated,r,0.99098
Simstrat-LER,EsthwaiteWater,calibrated,bias,-0.16331
Simstrat-LER,FallingCreek,calibrated,rmse,3.0236
Simstrat-LER,FallingCreek,calibrated,nse,0.74152
Simstrat-LER,FallingCreek,calibrated,r,0.94759
Simstrat-LER,FallingCreek,calibrated,bias,1.62889
Simstrat-LER,Feeagh,calibrated,rmse,0.82295
Simstrat-LER,Feeagh,calibrated,nse,0.94445
Simstrat-LER,Feeagh,calibrated,r,0.98464
Simstrat-LER,Feeagh,calibrated,bias,-0.22105
Simstrat-LER,Fish,calibrated,rmse,1.95802
Simstrat-LER,Fish,calibrated,nse,0.90553
Simstrat-LER,Fish,calibrated,r,0.9609
Simstrat-LER,Fish,calibrated,bias,-0.14672
Simstrat-LER,GreatPond,calibrated,rmse,1.79001
Simstrat-LER,GreatPond,calibrated,nse,0.88882
Simstrat-LER,GreatPond,calibrated,r,0.95801
Simstrat-LER,GreatPond,calibrated,bias,-0.51081
Simstrat-LER,Green,calibrated,rmse,0.76742
Simstrat-LER,Green,calibrated,nse,0.98176
Simstrat-LER,Green,calibrated,r,0.99085
Simstrat-LER,Green,calibrated,bias,0.00814
Simstrat-LER,Harp,calibrated,rmse,1.16976
Simstrat-LER,Harp,calibrated,nse,0.93937
Simstrat-LER,Harp,calibrated,r,0.97697
