model,lake,cali,metric,value
air2water6par,Allequash,calibrated,rmse,1.14831247589828
air2water6par,Allequash,calibrated,nse,0.978628276008127
air2water6par,Allequash,calibrated,r,0.990419819815427
air2water6par,Allequash,calibrated,bias,-0.18891652249135
air2water6par,Allequash,uncalibrated,rmse,2.67747906243617
air2water6par,Allequash,uncalibrated,nse,0.883809249467407
air2water6par,Allequash,uncalibrated,r,0.98538538568612
air2water6par,Allequash,uncalibrated,bias,-2.23124574394464
air2water6par,Alqueva,calibrated,rmse,0.755164545351816
air2water6par,Alqueva,calibrated,nse,0.975998957733121
air2water6par,Alqueva,calibrated,r,0.987927003335946
air2water6par,Alqueva,calibrated,bias,0.00132354378818736
air2water6par,Alqueva,uncalibrated,rmse,1.63319479583398
air2water6par,Alqueva,uncalibrated,nse,0.887740554466887
air2water6par,Alqueva,uncalibrated,r,0.985778658639794
air2water6par,Alqueva,uncalibrated,bias,-0.343366466395112
air2water6par,Annie,calibrated,rmse,0.795176760709294
air2water6par,Annie,calibrated,nse,0.964862021492355
air2water6par,Annie,calibrated,r,0.98227409560251
air2water6par,Annie,calibrated,bias,-0.0011689723827874
air2water6par,Annie,uncalibrated,rmse,2.62855523325376
air2water6par,Annie,uncalibrated,nse,0.61604208128693
air2water6par,Annie,uncalibrated,r,0.975270066056261
air2water6par,Annie,uncalibrated,bias,-2.26235338150289
air2water6par,Biel,calibrated,rmse,1.01555805212237
air2water6par,Biel,calibrated,nse,0.971541742180486
air2water6par,Biel,calibrated,r,0.98566843133464
air2water6par,Biel,calibrated,bias,0.0025541176470588
air2water6par,Biel,uncalibrated,rmse,1.37708070110149
air2water6par,Biel,uncalibrated,nse,0.947673994121665
air2water6par,Biel,uncalibrated,r,0.982978236526903
air2water6par,Biel,uncalibrated,bias,0.734826558823529
air2water6par,BigMuskellunge,calibrated,rmse,0.934144056720584
air2water6par,BigMuskellunge,calibrated,nse,0.985338750157672
air2water6par,BigMuskellunge,calibrated,r,0.99332225686799
air2water6par,BigMuskellunge,calibrated,bias,-0.139780207253886
air2water6par,BigMuskellunge,uncalibrated,rmse,1.6054392428069
air2water6par,BigMuskellunge,uncalibrated,nse,0.956695698923324
air2water6par,BigMuskellunge,uncalibrated,r,0.992691465771504
air2water6par,BigMuskellunge,uncalibrated,bias,-1.24543582037997
air2water6par,BlackOak,calibrated,rmse,0.826324862007456
air2water6par,BlackOak,calibrated,nse,0.979802920312544
air2water6par,BlackOak,calibrated,r,0.989860781919976
air2water6par,BlackOak,calibrated,bias,0.00959358208955259
air2water6par,BlackOak,uncalibrated,rmse,1.34111808329145
air2water6par,BlackOak,uncalibrated,nse,0.946798855359707
air2water6par,BlackOak,uncalibrated,r,0.986771979451342
air2water6par,BlackOak,uncalibrated,bias,-0.808584179104477
air2water6par,BurleyGriffin,calibrated,rmse,1.15271437794218
air2water6par,BurleyGriffin,calibrated,nse,0.945579086652628
air2water6par,BurleyGriffin,calibrated,r,0.972409006279139
air2water6par,BurleyGriffin,calibrated,bias,-0.000694390243902374
air2water6par,BurleyGriffin,uncalibrated,rmse,5.96431324826959
air2water6par,BurleyGriffin,uncalibrated,nse,-0.456945462736847
air2water6par,BurleyGriffin,uncalibrated,r,0.878238282563185
air2water6par,BurleyGriffin,uncalibrated,bias,-4.96974
air2water6par,Crystal,calibrated,rmse,1.04107954214458
air2water6par,Crystal,calibrated,nse,0.980652249379927
air2water6par,Crystal,calibrated,r,0.991398991153206
air2water6par,Crystal,calibrated,bias,-0.168464597069597
air2water6par,Crystal,uncalibrated,rmse,1.53104285592977
air2water6par,Crystal,uncalibrated,nse,0.958155599431202
air2water6par,Crystal,uncalibrated,r,0.991701404199158
air2water6par,Crystal,uncalibrated,bias,-1.18689302197802
air2water6par,CrystalBog,calibrated,rmse,1.51912623608313
air2water6par,CrystalBog,calibrated,nse,0.950624568335679
air2water6par,CrystalBog,calibrated,r,0.978582341868423
air2water6par,CrystalBog,calibrated,bias,-0.257197983501375
air2water6par,CrystalBog,uncalibrated,rmse,2.19532500645049
air2water6par,CrystalBog,uncalibrated,nse,0.896885242290125
air2water6par,CrystalBog,uncalibrated,r,0.970981005834557
air2water6par,CrystalBog,uncalibrated,bias,-1.46317518790101
air2water6par,Delavan,calibrated,rmse,0.810248685369862
air2water6par,Delavan,calibrated,nse,0.990034327603134
air2water6par,Delavan,calibrated,r,0.995494433160472
air2water6par,Delavan,calibrated,bias,-0.116559743589744
air2water6par,Delavan,uncalibrated,rmse,1.24770914446596
air2water6par,Delavan,uncalibrated,nse,0.976368208166135
air2water6par,Delavan,uncalibrated,r,0.993838550416549
air2water6par,Delavan,uncalibrated,bias,-0.858223782051282
air2water6par,Dickie,calibrated,rmse,0.944692013725004
air2water6par,Dickie,calibrated,nse,0.974220760671907
air2water6par,Dickie,calibrated,r,0.987026797613469
air2water6par,Dickie,calibrated,bias,0.00211426573426593
air2water6par,Dickie,uncalibrated,rmse,2.019298081255
air2water6par,Dickie,uncalibrated,nse,0.882214867236036
air2water6par,Dickie,uncalibrated,r,0.97787486596866
air2water6par,Dickie,uncalibrated,bias,-1.47373601398601
air2water6par,Ekoln,calibrated,rmse,0.671833158406943
air2water6par,Ekoln,calibrated,nse,0.990535650755877
air2water6par,Ekoln,calibrated,r,0.995334913376725
air2water6par,Ekoln,calibrated,bias,-0.0553727974276527
air2water6par,Ekoln,uncalibrated,rmse,1.58199465616257
air2water6par,Ekoln,uncalibrated,nse,0.947521922960612
air2water6par,Ekoln,uncalibrated,r,0.988454437386393
air2water6par,Ekoln,uncalibrated,bias,1.14214868971061
air2water6par,Erken,calibrated,rmse,0.858637670654793
air2water6par,Erken,calibrated,nse,0.985741690192106
air2water6par,Erken,calibrated,r,0.993141732895049
air2water6par,Erken,calibrated,bias,-0.112969475704727
air2water6par,Erken,uncalibrated,rmse,1.63684482980353
air2water6par,Erken,uncalibrated,nse,0.948184082510323
air2water6par,Erken,uncalibrated,r,0.985817130936728
air2water6par,Erken,uncalibrated,bias,1.07930401338159
air2water6par,FallingCreek,calibrated,rmse,1.13375355452852
air2water6par,FallingCreek,calibrated,nse,0.939473021801188
air2water6par,FallingCreek,calibrated,r,0.969264185422194
air2water6par,FallingCreek,calibrated,bias,0.000107272727273026
air2water6par,FallingCreek,uncalibrated,rmse,1.32862112200445
air2water6par,FallingCreek,uncalibrated,nse,0.916878384767797
air2water6par,FallingCreek,uncalibrated,r,0.966897279772945
air2water6par,FallingCreek,uncalibrated,bias,0.0146030303030305
air2water6par,Feeagh,calibrated,rmse,0.593401337984451
air2water6par,Feeagh,calibrated,nse,0.979021926334379
air2water6par,Feeagh,calibrated,r,0.989455374694202
air2water6par,Feeagh,calibrated,bias,0.000232349450549423
air2water6par,Feeagh,uncalibrated,rmse,1.27736738792409
air2water6par,Feeagh,uncalibrated,nse,0.902792401978587
air2water6par,Feeagh,uncalibrated,r,0.987974530482827
air2water6par,Feeagh,uncalibrated,bias,1.01946726813187
air2water6par,Fish,calibrated,rmse,1.20011422713269
air2water6par,Fish,calibrated,nse,0.975809785450519
air2water6par,Fish,calibrated,r,0.989154142840482
air2water6par,Fish,calibrated,bias,-0.165850471014493
air2water6par,Fish,uncalibrated,rmse,2.12451723112774
air2water6par,Fish,uncalibrated,nse,0.924191995049833
air2water6par,Fish,uncalibrated,r,0.989367968043125
air2water6par,Fish,uncalibrated,bias,-1.78642869565217
air2water6par,GreatPond,calibrated,rmse,0.788712787365228
air2water6par,GreatPond,calibrated,nse,0.970571042765269
air2water6par,GreatPond,calibrated,r,0.985175640923612
air2water6par,GreatPond,calibrated,bias,5.05443548387695e-05
air2water6par,GreatPond,uncalibrated,rmse,2.41555390343173
air2water6par,GreatPond,uncalibrated,nse,0.723960916836032
air2water6par,GreatPond,uncalibrated,r,0.978979867492998
air2water6par,GreatPond,uncalibrated,bias,-2.21751185483871
air2water6par,Green,calibrated,rmse,1.00862138577777
air2water6par,Green,calibrated,nse,0.979389786272637
air2water6par,Green,calibrated,r,0.989646338171403
air2water6par,Green,calibrated,bias,0.00852160919540247
air2water6par,Green,uncalibrated,rmse,1.85776224840749
air2water6par,Green,uncalibrated,nse,0.930079195341801
air2water6par,Green,uncalibrated,r,0.982140922642121
